pharmacy_name,address,city,postal_code,phone,fax
FRESHCO PHARMACY #4265,27566 Fraser Hwy,Aldergrove,V4W 3N5,(604) 856-4667,(604) 856-7223
FRESHCO PHARMACY #4269,45858 Yale Rd,Chilliwack,V2P 2N9,(604) 795-6092,(604) 795-6034
FRESHCO PHARMACY #4270,#300 - 20201 Lougheed Hwy,Maple Ridge,V2X 2P6,(604) 460-7200,(604) 460-7242
FRESHCO PHARMACY #4272,#100 - 32500 S. Fraser Way,Abbotsford,V2T 4W1,(604) 852-3558,(604) 852-5660
FRESHCO PHARMACY #4274,451 Oliver St.,Williams Lake,V2G 1M5,(250) 398-8380,(250) 398-7087
FRESHCO PHARMACY #4276,#5- 945 Columbia St W,Kamloops,V2C 1L5,(250) 372-1994,(250) 374-9167
FRESHCO PHARMACY #4277,#500 - 2339 Hwy 97 N,Kelowna,V1X 4H9,(250) 860-4431,(250) 860-2584
FRESHCO PHARMACY #4278,3417 - 30th Avenue,Vernon,V1T 2E3,(250) 542-8008,(250) 542-5569
FRESHCO PHARMACY #4280,7040 Barnet Street,Powell River,V8A 2A1,(604) 485-4244,(604) 485-3063
GAIN PHARMACY,10677 King George Blvd,Surrey,V3T 2X6,(604) 582-4246,(604) 582-4276
GARIBALDI PHARMACY,102 - 1870 Dowad Drive,Squamish,V8B 1C4,(604) 848-7059,(778) 605-2939
GARLANE PHARMACY LTD.,232 East Hastings St,Vancouver,V6A 1P1,(604) 684-6720,(604) 398-2891
GARRISON PHARMACY,1 - 45555 Market Way,Chilliwack,V2R 0M5,(604) 846-8782,(604) 846-8794
GATEWAY PHARMACY,13717 72 Ave,Surrey,V3W 2P2,(604) 930-8608,(604) 930-2732
GENERATION PHARMACY,A 11771 225 St,Maple Ridge,V2X 6E6,(604) 544-7111,(604) 544-8333
GILMORE PHARMACY,320 Gilmore Ave,Burnaby,V5C 4R1,(604) 568-8383,(604) 568-8332
GLADWIN PHARMACY,#104 - 2955 Gladwin Rd,Abbotsford,V2T 5T4,(604) 850-2494,(604) 853-9675
GLEN PHARMACY,208 - 1175 Johnson St,Coquitlam,V3B 7K1,(604) 944-5500,(604) 944-3301
GLENCOURT DISTRIBUTORS,105-19515 56 Ave,Surrey,V3S 6K3,(604) 539-0375,(604) 539-1464
GOLDEN EARS PHARMACY,100 - 22722 Lougheed Hwy,Maple Ridge,V2X 2V6,(604) 477-3222,(604) 477-3221
GOLDEN FAMILY PHARMACY,916 10th Avenue South,Golden,V0A 1H0,(250) 344-6821,(250) 344-6869
GONZALES PHARMACY,1845 Fairfield Road,Victoria,V8S 1G9,(250) 598-5512,(250) 590-3998
GOOD CURE PHARMACY,5 - 5725 Vedder Road,Chilliwack,V2R 3N4,(604) 847-1255,(236) 436-2607
GOOD FAITH PHARMACY,A-4035 Redford St,Port Alberni,V9Y 3R9,(778) 421-1035,(778) 421-0757
GORDON HEAD PHARMACY,102 - 1660 Feltham Rd,Victoria,V8N 2A1,(250) 590-0557,(250) 590-5898
GOURLAY'S GOLDEN PHARMACY,"P.O. Box 1106, 826B - 9th Ave S",Golden,V0A 1H0,(250) 344-8600,(250) 344-8622
GRACE PHARMACY,3835 Sunset St,Burnaby,V5G 1T4,(604) 434-1722,(604) 909-1722
GRANVILLE PHARMACY,1146 Granville St,Vancouver,V6Z 1L8,(604) 558-0700,(604) 558-0722
GRAY'S COMPOUNDING PHARMACY,417B 304th St,Kimberley,V1A 3H4,(250) 427-0038,(250) 427-0039
GREEN PHARMACY,204-901 Lougheed Hwy,Coquitlam,V3K 0J3,(236) 607-0018,1-833-664-5458
GREENSHIELD PHARMACY,#118 - 5589 Byrne Road,Burnaby,V5J 3J1,(778) 244-1788,(604) 648-9939
GROVE PHARMACY,"Walnut Grove Prof. Corner, 402 - 21183 88 Ave",Langley,V1M 2G5,(778) 298-1000,(778) 298-1012
GUILDFORD DRUGS,200 - 15135 101 Ave,Surrey,V3R 7Z1,(778) 394-3784,(778) 395-3784
H&J FAMILY PHARMACY,115-1488 Flint Avenue,Langford,V9B 5N1,(250) 242-2323,(250) 955-1111
HAFEZ PHARMACY AND TRAVEL CLINIC,108-2669 Langdon St,Abbotsford,V2T 3L3,(604) 852-8355,(604) 852-8492
HANEY PHARMACY,"Suite D, 22195 Dewdney Trunk Road",Maple Ridge,V2X 3H7,(604) 467-9100,(604) 463-7189
HAPPY FACE PHARMACY,7 - 8590 200 St,Langley,V2Y 2B9,(604) 371-2794,(604) 371-2795
HARBOUR PHARMACY,3855 9th Ave,Port Alberni,V9Y 4T9,(250) 723-8100,(888) 675-9906
HARBOURVIEW DRUGSTORE,1892 Peninsula Rd,Ucluelet,V0R 3A0,(250) 726-2733,(250) 726-2734
HARDY BAY DRUGSTORE,"Unit 100 - 8950 Granville St, PO Box 909",Port Hardy,V0N 2P0,(250) 949-9522,(250) 949-9532
HART DRUG MART,6707 Dagg Rd,Prince George,V2K 2R6,(250) 962-9603,(250) 962-8450
HARVARD PHARMACY,492 Kingsway,Vancouver,V5T 3J9,(604) 875-0200,(604) 639-0020
HARVEST DRIVE PHARMACY,#100 - 4515 Harvest Dr.,Delta,V4K 4L1,(604) 946-5220,(604) 946-3902
HEALING PHARMACY,#7 - 103 4501 North Rd.,Burnaby,V3N 4R7,(604) 420-0756,(604) 676-2795
HEALING PHARMACY #2,7414 Edmonds St,Burnaby,V3N 1A8,(236) 453-1186,(778) 627-2834
HEALTHCARE PHARMACY,866 Twelfth St,New Westminster,V3M 4K3,(604) 540-1325,(604) 540-4315
HEALTHCARE PHARMACY #2,130 - 8780 Blundell Road,Richmond,V6Y 3Y8,(604) 275-7800,(604) 275-7400
HEALTHCARE PHARMACY #3,13352 Old Yale Road,Surrey,V3T 5A4,(778) 975-0017,(778) 607-2010
HEALTHMART PHARMACY,109-8556 120 St,Surrey,V3W 3N5,(604) 503-3163,(604) 503-3168
HEALTHPLUS PHARMACY,4115 No. 5 Rd,Richmond,V6X 2T9,(604) 304-1294,(604) 304-1295
HEALTHPLUS PHARMACY #2,170 - 8980 No. 3 Rd,Richmond,V6Y 2E8,(604) 370-6799,(604) 370-6798
HEALTHRX PHARMACY,100 - 135 15th St E,North Vancouver,V7L 2P7,(604) 770-1609,(604) 770-1610
HEALTHSIDE PHARMACY,5448 Victoria Drive,Vancouver,V5P 3V8,(604) 327-6768,(604) 327-6761
HEART PHARMACY AT ESQUIMALT,H 890 Esquimalt Rd,Victoria,V9A 3M4,(778) 433-2721,(833) 333-2916
HELLO PHARMACY #3301,4882 Main Street,Vancouver,V5V 3R8,(778) 606-7873,(778) 724-0143
HELLO PHARMACY #3302,"115, 1700 Garcia Street",Merritt,V1K 1B8,(236) 575-2273,(236) 575-2274
HERBACY PHARMAHEALTH INTERNATIONAL LIMITED,Unit 102 - 14045 104 Ave,Surrey,V3T 1X4,(604) 498-8102,(604) 498-8103
HERITAGE PARK PHARMACY,Unit B150 - 7871 Stave Lake St,Mission,V2V 0C5,(604) 289-2447,(604) 289-2448
HERITAGE PHARMACY,9136 Young Rd,Chilliwack,V2P 4R4,(604) 824-5300,(236) 436-2989
HIGH GATE PHARMACY LTD.,#102 - 7188 Kingsway,Burnaby,V5E 1G3,(604) 777-4267,(604) 777-4268
HILLCREST PHARMACY LTD.,100 - 32156 Hillcrest Ave,Abbotsford,V2T 1S5,(604) 746-1333,(604) 746-1334
HILLSIDE FAMILY PHARMACY,A - 541 3rd Ave,Ladysmith,V9G 1B9,(250) 924-2288,(250) 924-2289
HOGARTH'S CLINIC PHARMACY LTD.,102 - 3310 - 32nd Ave,Vernon,V1T 2M6,(250) 545-3660,(250) 545-4392
HOMELINX PHARMACY,101 - 12126 90 Ave,Surrey,V3V 1B5,(604) 503-6470,(604) 503-6469
HOPE PHARMACY,224 Wallace St,Hope,V0X 1L0,(604) 860-2144,(604) 860-2140
HOWE SOUND PHARMACY,#208 - 1100 Sunshine Coast Hwy,Gibsons,V0N 1V7,(604) 886-3365,(604) 886-3052
HUB PHARMACY,108A - 32883 South Fraser Way,Abbotsford,V2S 2A6,(604) 556-8515,(604) 556-8366
I.D.A. FAMILY DRUG MART,100 - 10504 100 Ave,Fort St. John,V1J 1Z2,(250) 261-7039,(877) 376-0243
I.G.S. VALUE DRUG MART,441 - 2nd Ave.,Fernie,V0B 1M0,(250) 423-4511,(250) 423-4543
ICARE REMEDY'SRX,103 - 13805 104 Ave,Surrey,V3T 1W7,(604) 498-0480,(604) 498-0481
IDEAL CARE PHARMACY,100 - 817 W Hastings St,Vancouver,V6C 3N9,(604) 757-1530,(604) 398-8094
IHEALTH PHARMACY,101 - 45619 Yale Road,Chilliwack,V2P 2N1,(604) 392-8393,(236) 436-2986
IMPERIAL NEIGHBOURHOOD PHARMACY,2 - 4648 Imperial St,Burnaby,V5J 1B8,(604) 428-9647,(604) 428-9649
IMPERIAL PHARMACY #2,981 Carnarvon St,New Westminster,V3M 1G2,(604) 523-6767,(604) 523-6768
IMPERIAL REMEDY'S RX PHARMACY,5262 Imperial St,Burnaby,V5J 1E5,(604) 229-2360,(604) 449-2291
INDIGICARE MEDICINES LTD.,2982 Nanaimo St,Vancouver,V5N 5G3,(236) 521-9449,(236) 259-5320
INDIGO PHARMACY,447 East Columbia Street,New Westminster,V3L 3X3,(604) 553-8996,(604) 553-8993
INDIGO PHARMACY COMMERCIAL,1623 Commercial Dr,Vancouver,V5L 3Y3,(604) 566-8963,(604) 566-8962
INDIGO PHARMACY MID-MAIN,2205 Main Street,Vancouver,V5T 0K2,(604) 423-2882,(604) 423-2887
INGRAM CLINIC PHARMACY,#101 - 149 Ingram St.,Duncan,V9L 1N8,(250) 746-5191,(250) 746-8413
INLET PHARMACY LTD.,50 Electronic Avenue,Port Moody,V3H 2R8,(604) 937-2818,(604) 937-2820
INNOMAR PHARMACY,100 - 5898 Trapp Ave,Burnaby,V3N 5G4,(604) 563-2700,(604) 563-2701
ISLAND CENTRAL FILL PHARMACY,45 - 1400 Cowichan Bay Road,Cobble Hill,V0R 1L3,(250) 929-2100,(250) 929-2102
ISLAND PHARMACY,"#13 - 575 North Road, RR #3",Gabriola Island,V0R 1X3,(250) 247-8310,(250) 247-8313
ISLAND PHARMACY # 1,"138 South Shore Road, Box 38",Lake Cowichan,V0R 2G0,(250) 749-3141,(250) 749-4315
ISLAND PHARMACY # 2,62 Cowichan Lake Road,Lake Cowichan,V0R 2G0,(250) 749-0149,(250) 749-7219
ISLAND PHARMACY # 3,102 - 330 Festubert St,Duncan,V9L 3S9,(250) 746-7494,(250) 746-7493
ISLAND PHARMACY # 4,192 Kenneth St,Duncan,V9L 1N4,(250) 746-4680,(250) 746-4682
ISLAND PHARMACY # 6,"26 - 1400 Cowichan Bay Rd, RR 3",Cobble Hill,V0R 1L0,(250) 743-1448,(250) 743-1480
ISLAND PHARMACY # 7,1-1769 Shawnigan Mill Bay Rd.,Shawnigan Lake,V0R 2W0,(250) 743-6977,(250) 743-6976
ISLAND PHARMACY # 8,"Unit A - 845 Deloume Rd, RR 2",Mill Bay,V0R 2P2,(250) 743-4421,(250) 743-8897
ISLAND PHARMACY #10,#106 - 284 Helmcken Road,Victoria,V9B 1T2,(250) 881-8887,(250) 881-1210
ISLANDCARE PHARMACY,A 2440 Cliffe Ave,Courtenay,V9N 2L6,(250) 871-9090,(250) 871-9099
JAMIE'S PHARMACY,103 - 2802 30th St,Vernon,V1T 8G7,(250) 541-8999,(250) 541-8907
JC PHARMACY,211 - 3214 Douglas St,Victoria,V8Z 3K6,(250) 590-9080,(250) 590-8033
JC PHARMACY - 02,47 Gorge Rd East,Victoria,V9A 0J8,(250) 940-7466,(250) 410-1849
JERICHO PHARMACY & HEALTH FOOD STORE,Unit 290 - 2083 Alma St.,Vancouver,V6R 4N6,(604) 228-8978,(604) 228-0798
JOE'S FAMILY PHARMACY,7819D East Saanich Rd,Saanichton,V8M 2B4,(778) 426-2420,(778) 506-2391
JOE'S FAMILY PHARMACY #2,101-622 Admirals Rd,Esquimalt,V9A 2N7,(778) 817-1754,(778) 698-7054
JOE'S FAMILY PHARMACY #3,#116 - 10330 McDonald Park Road,North Saanich,V8L 5X7,(778) 817-1591,(250) 410-1851
JOE'S SPECIALTY PHARMACY,1515 McTavish Road,North Saanich,V8L 5T3,(250) 410-1000 ext: 41703,(236) 916-2999
JOE'S SPECIALTY PHARMACY - VANCOUVER,2839 Kingsway,Vancouver,V5R 5H9,(604) 924-8686,(833) 999-0871
JUNIPER PHARMACY,1607 Pandosy Street,Kelowna,V1Y 1P6,(250) 762-7306,(250) 762-7193
KAMA HEALTH PHARMACY,201 - 7350 King George Blvd,Surrey,V3W 5A5,1-888-533-9842,1-855-710-6444
KAMLOOPS DOWNTOWN PHARMACY,205 Victoria Street,Kamloops,V2C 2A1,(250) 374-2216,(250) 374-2218
KASLO COMMUNITY PHARMACY,403 Front St,Kaslo,V0G 1M0,(250) 353-2224,(250) 353-2336
KATZIE PHARMACY,19700 Salish Rd,Pitt Meadows,V3Y 2G1,(604) 457-1030,(604) 457-1031
KENSINGTON PHARMACY,916 Kingsway,Vancouver,V5V 3C4,(604) 428-6800,(604) 428-6900
KERRISDALE MEDICINE CENTRE PHARMACY,5591 West Boulevard,Vancouver,V6M 3W6,(604) 261-0333,(604) 261-0311
KILLARNEY PHARMACY,#102 - 2607 East 49th Ave,Vancouver,V5S 1J9,(778) 800-8528,(778) 800-8530
KING GEORGE MEDIC PHARMACY,102 - 14333 104 Ave,Surrey,V3T 0E1,(604) 585-8866,(604) 585-7036
KINGSTONS PHARMACY,10051 Whalley Blvd,Surrey,V3T 4G1,(604) 585-0525,(604) 585-0522
KIPP-MALLERY LANDMARK PHARMACY,"Landmark Centre, 207 755 McGill Rd",Kamloops,V2C 0B6,(236) 425-0025,(236) 425-0040
KIPP-MALLERY PHARMACY,273 Victoria St.,Kamloops,V2C 2A1,(250) 372-2531,(250) 372-1736
KIWI PHARMACY & WELLNESS,109-810 Clement Ave,Kelowna,V1Y 0J7,(778) 940-1950,(778) 940-5793
KLEO'S PHARMACY REMEDY'SRX,#90B - 1967 Trans Canada Hwy E,Kamloops,V2C 4A4,(778) 765-1444,(778) 765-1452
KNIGHTS PHARMACY,330 Main St.,Penticton,V2A 5C3,(250) 492-8080,(250) 492-6699
KNIGHTS PHARMACY KELOWNA,103-3320 Richter St,Kelowna,V1W 4V5,(778) 940-4222,(778) 940-4221
KORNAK AND HAMM'S PHARMACY,366 Yorston St.,Williams Lake,V2G 4J5,(250) 398-8177,(250) 398-7393
KRIPPS HEALTHCARE RX,5413 West Blvd,Vancouver,V6M 3W5,(604) 687-2564,(604) 685-9721
KROLL'S SURREY PHARMACY LTD.,#101 - 9645 137 St,Surrey,V3T 4G8,(604) 581-3636,(604) 581-3637
LADYSMITH WHOLEHEALTH PHARMACY AND MORE,L - 17 Gatacre St,Ladysmith,V9G 1A1,(250) 924-1241,(236) 933-2981
LAFARGE PHARMACY,106-3056 Glen Dr,Coquitlam,V3B 0V1,(604) 474-0769,(604) 474-0768
LAKESIDE MEDICINE CENTRE,#112A - 2365 Gordon Drive,Kelowna,V1W 3C2,(250) 860-3100,(250) 860-3104
LAKESIDE PHARMACY,374B Stuart Dr W,Fort St. James,V0J 1P0,(250) 996-7202,(250) 996-7366
LALLICARE PHARMACY,1139 Yates Street,Victoria,V8V 3N2,(250) 386-5100,(250) 386-5527
LAMBERT-KIPP PHARMACY LTD.,"PO Box 2919, 1301 - 7th Ave",Invermere,V0A 1K0,(250) 342-6612,(250) 342-6574
LANCASTER MEDICAL SUPPL. & PRESC. #4,#101 - 13710 94A Ave,Surrey,V3V 1N1,(604) 582-9181,(604) 582-9167
LANCASTER MEDICAL SUPPLIES & PRESCRIPTIONS #1,"Unit U1, 601 West Broadway",Vancouver,V5Z 4C2,(604) 873-8585,(604) 873-2381
LANDMARK PHARMACY,116 - 1631 Dickson Ave,Kelowna,V1Y 0B5,(250) 762-5031,(250) 762-5032
LANGLEY PHARMACY,101 - 5568 206 St,Langley,V3A 7T1,(604) 539-9799,(604) 539-9798
LANGLEY TOWNSHIP PHARMACY & COMPOUNDING,Unit 100 - 5068 221A Street,Langley,V2Y 3V9,(604) 532-2176,(604) 342-1131
LAUREL PRESCRIPTIONS,#102 - 888 West 8th Ave.,Vancouver,V5Z 3Y1,(604) 873-5511,(604) 873-5581
LG PHARMACY,4473 Hastings St,Burnaby,V5C 0L6,(604) 558-2006,(604) 974-5444
LIFECARE PHARMACY,#101 - 1106 Austin Avenue,Coquitlam,V3K 3P5,(604) 937-5413,(604) 937-5414
LIFECARE PHARMACY #2,#102 - 408 E Columbia Street,New Westminster,V3L 0K5,(604) 515-0413,(604) 515-0414
LIFECONNECT PHARMACY,102 - 5967 168 St,Surrey,V3S 3X5,(604) 372-0912,(604) 372-0913
LIFECONNECT PHARMACY #2,5623 177B Street,Surrey,V3S 4H9,(604) 245-4050,(604) 245-4052
LIFECONNECT PHARMACY #3,170 - 18811 72nd Ave,Surrey,V4N 6W7,(778) 366-2993,(778) 366-2997
LINCOLN PHARMACY & COQUITLAM TRAVEL CLINIC,137 - 3030 Lincoln Ave,Coquitlam,V3B 6B4,(604) 464-1033,(604) 464-1035
LINCOLN WHOLEHEALTH PHARMACY,6-2168 McCallum Rd,Abbotsford,V2S 6R6,(778) 362-4282,(778) 360-2997
LITTLE PRAIRIE PHARMACY,"PO Box 1330, 5016 50th Ave",Chetwynd,V0C 1J0,(250) 788-1060,1-833-909-2074
LIVING ROOM PHARMACY LTD.,204 - 1530 Cliffe Ave,Courtenay,V9N 2K4,(250) 338-5665,(250) 338-5855
LOBLAW PHARMACY #1517,350 Marine Dr SE,Vancouver,V5X 2S5,(604) 322-3706,(604) 322-7321
LOBLAW PHARMACY #1518,"1105 Eaton Centre, 4700 Kingsway",Burnaby,V5H 4M1,(604) 439-4404,(604) 439-4466
LOBLAW PHARMACY #1519,152-1301 Lougheed Highway,Coquitlam,V3K 6P9,(604) 520-8304,(604) 520-8348
LOBLAW PHARMACY #1520,3185 Grandview Hwy.,Vancouver,V5M 2E9,(604) 436-6406,(604) 436-6446
LOBLAW PHARMACY #1521,7550 King George Blvd,Surrey,V3W 2T2,(604) 599-3704,(604) 599-3705
LOBLAW PHARMACY #1522,910 Columbia Street W.,Kamloops,V2C 1L2,(250) 371-6435,(250) 371-6433
LOBLAW PHARMACY #1523,45779 Luckakuck Way,Chilliwack,V2R 4E8,(604) 824-4235,(604) 824-4233
LOBLAW PHARMACY #1524,1424 Island Highway,Campbell River,V9W 8C9,(250) 830-2730,(250) 830-2733
LOBLAW PHARMACY #1525,6435 Metral Dr,Nanaimo,V9T 2L9,(250) 390-5735,(250) 390-5732
LOBLAW PHARMACY #1526,3000 Lougheed Hwy.,Coquitlam,V3B 1C5,(604) 468-6735,(604) 468-6732
LOBLAW PHARMACY #1527,835 Langford Pky,Victoria,V9B 4V5,(250) 391-3135,(250) 391-3133
LOBLAW PHARMACY #1528,757 Ryan Road,Courtenay,V9N 3R6,(250) 334-6935,(250) 334-6940
LOBLAW PHARMACY #1531,5001 Anderson Way,Vernon,V1T 9V1,(250) 550-2335,(250) 550-2334
LOBLAW PHARMACY #1532,100 - 2210 Main St,Penticton,V2A 5H8,(250) 487-7715,(250) 487-7711
LOBLAW PHARMACY #1551,2332 160 St,Surrey,V3Z 0R5,(778) 545-0478,(778) 545-0480
LOBLAW PHARMACY #1552,3020 Louie Dr,Westbank,V4T 3E1,(250) 707-7015,(250) 707-7011
LOBLAW PHARMACY #1553,2100 - 17th St N,Cranbrook,V1C 7J1,(250) 420-2135,(250) 420-2132
LOBLAW PHARMACY #1554,8195 120 St,Delta,V4C 6P7,(604) 592-5235,(604) 592-5232
LOBLAW PHARMACY #1555,201 - 19800 Lougheed Hwy,Pitt Meadows,V3Y 2W1,(604) 460-4335,(604) 460-4333
LOBLAW PHARMACY #1556,14650 - 104 Ave,Surrey,V3R 1M3,(604) 587-8535,(604) 587-8532
LOBLAW PHARMACY #1557,4651 No. 3 Road,Richmond,V6X 2C4,(604) 233-2430,(604) 233-2432
LOBLAW PHARMACY #1558,2855 Gladwin Rd,Abbotsford,V2T 6Y4,(604) 557-5235,(604) 557-5232
LOBLAW PHARMACY #1559,32136 Lougheed Highway,Mission,V2V 1A4,(604) 820-6430,(604) 820-6433
LOBLAW PHARMACY #1560,333 Seymour Blvd.,North Vancouver,V7J 2J4,(604) 904-5535,(604) 904-5533
LOBLAW PHARMACY #1561,19851 Willowbrook Dr,Langley,V2Y 1A7,(604) 532-5430,(604) 532-5424
LOBLAW PHARMACY #1562,2155 Ferry Ave,Prince George,V2N 5E8,(250) 960-1335,(250) 960-1344
LOBLAW PHARMACY #1563,291 Cowichan Way,Duncan,V9L 6P5,(250) 746-0535,(250) 746-0540
LOBLAW PHARMACY #1564,2280 Baron Rd,Kelowna,V1X 7W3,(250) 717-2535,(250) 717-2533
LOBLAW PHARMACY #4369,3455 Johnston Rd,Port Alberni,V9Y 8K1,(250) 723-1624,(250) 723-1787
LOBLAW PHARMACY #4382,215C Port Augusta St,Comox,V9M 3M9,(250) 339-6626,(250) 339-5593
LOBLAW PHARMACY #4399,Unit 1 - 9831 98A Ave,Fort St. John,V1J 1S3,(250) 785-2547,(250) 785-5351
LOBLAW PHARMACY #4534,142 - 8100 Rock Island Hwy.,Trail,V1R 4N7,(250) 368-8544,(250) 368-8093
LOBLAW PHARMACY #4590,1650 Lonsdale Ave,North Vancouver,V7M 2J3,(604) 983-3332,(604) 983-3392
LOBLAW PHARMACY #4612,1792A 9th Ave,Fernie,V0B 1M0,(250) 423-3264,(250) 423-8074
LOBLAW PHARMACY #4613,49 - 700 Tranquille Rd,Kamloops,V2B 3H9,(250) 312-3326,(250) 312-3324
LOBLAW PHARMACY #4614,127 - 1835 Gordon Drive,Kelowna,V1Y 3H4,(250) 861-1525,(250) 861-3941
LOBLAW PHARMACY #4616,18765 Fraser Hwy,Surrey,V3S 7Y3,(604) 576-3126,(604) 576-6844
LOBLAW PHARMACY #4617,"Champlain Mall, 7190 Kerr Street",Vancouver,V5S 4W2,(604) 430-3381,(604) 433-5347
LOBLAW PHARMACY #4627,5530 Sunshine Coast Hwy,Sechelt,V0N 3A0,(604) 740-5765,(604) 740-5743
LOBLAW PHARMACY #4907,2110 Ryley Avenue,Vanderhoof,V0J 3A0,(250) 567-6005,(250) 567-6009
LOBLAW PHARMACY #4979,310 Broadway St W,Vancouver,V5Y 1R2,(604) 708-8084,(604) 708-8663
LOBLAW PHARMACY #4980,22427 Dewdney Trunk Road,Maple Ridge,V2X 7A7,(604) 467-0753,(604) 467-2981
LOBLAW PHARMACY #4981,2-1900 Garibaldi Way,Garibaldi Highlands,V0N 1T0,(604) 898-6818,(604) 898-6821
LOBLAW PHARMACY #4983,2335 Maple Drive E,Quesnel,V2J 7J6,(250) 747-2812,(250) 747-2879
LOBLAW PHARMACY #4985,1501 Cook Street,Creston,V0B 1G0,(250) 402-6025,(250) 402-6029
LOBLAW PHARMACY #6708,846 Viewfield Rd,Esquimalt,V9A 4V1,(250) 381-8266,(250) 953-0008
LOBLAW PHARMACY #6732,2501 - 34th Street,Vernon,V1T 9S3,(250) 260-4558,(250) 260-4562
LOCK'S PRESCRIPTION PHARMACY LTD.,"Medical Dental Centre C/o Lock's Phcy, 9181 Main St",Chilliwack,V2P 4M9,(604) 795-9488,(604) 792-0482
LONGEVITY COMPOUNDING PHARMACY,711 Columbia St,New Westminster,V3M 1B2,(604) 544-7760,(604) 544-7761
LONSDALE & 3RD PHARMACY,105 3rd St E,North Vancouver,V7M 2G1,(604) 971-5499,(604) 971-5498
LONSDALE PHARMACY,1531 Lonsdale Ave,North Vancouver,V7M 2J2,(604) 985-1901,(604) 985-1907
LOW COST WESTERN PHARMACY,535 Main St.,Vancouver,V6A 2V1,(604) 689-5555,(604) 689-5268
LOW COST WESTERN PHARMACY #2,5579 Victoria Dr,Vancouver,V5P 3W2,(604) 322-6588,(604) 322-6501
LUMBY I.D.A. PHARMACY,1823 Vernon St,Lumby,V0E 2G0,(250) 547-2324,(250) 547-9593
LYNN VALLEY PHARMACY,104 - 1200 Lynn Valley Rd,North Vancouver,V7J 2A2,(604) 960-1187,(604) 960-1183
LYTTON PHARMACY,1535 Silo Rd,Lytton,V0K 1Z0,(778) 254-5454,(778) 254-5455
M & S PHARMACY,CRU130-19979 76 Avenue,Langley,V2Y 3Y3,(778) 298-5041,(778) 298-5045
MACDONALD'S PRESCRIPTIONS #3,2188 W. Broadway,Vancouver,V6K 2C8,(604) 738-0733,(604) 738-5400
MACDONALD'S PRESCRIPTIONS #4,#130 - 943 W. Broadway,Vancouver,V5Z 1K3,(604) 734-4311,(604) 734-4366
MACDONALD'S PRESCRIPTIONS LTD.,"Fairmont Medical Bldg., 746 W. Broadway",Vancouver,V5Z 1G8,(604) 872-2662,(604) 876-0242
MACDONALD'S PRESCRIPTIONS RENAL PHARMACY,2nd Floor - 148 West 6th Ave,Vancouver,V5Y 1K6,(604) 872-4200,(604) 872-4255
MAGGIE'S PHARMACY,2591 Commercial Dr,Vancouver,V5N 4C1,(778) 371-8721,(778) 371-8722
MAIN PRESCRIPTIONS,506 Main St,Vancouver,V6A 2T9,(604) 683-6381,(604) 683-8623
MAIN STATION PHARMACY,1149 Main St,Vancouver,V6A 4B6,(604) 662-3883,(604) 662-3887
MAINCARE PHARMACY,7297 Main St,Vancouver,V5X 3J3,(604) 325-0544,(604) 325-0574
MANN'S PRESCRIPTION PHARMACY,325 Jubilee St.,Duncan,V9L 1W9,(250) 746-7168,(250) 746-7169
MANSHADI PHARMACY,477 St. Paul St,Kamloops,V2C 2J7,(250) 372-2223,(250) 372-2224
MANSHADI PHARMACY #2,374 Tranquille Rd,Kamloops,V2B 3G7,(250) 434-2526,(250) 434-2527
MAPLE MEADOWS PHARMACY,102 - 11893 227 St,Maple Ridge,V2X 6H9,(604) 380-4345,(604) 380-4346
MARINE DRIVE PHARMACY,103 - 1061 Marine Drive,North Vancouver,V7P 1S6,(778) 340-9308,(833) 696-0783
MARK'S MARINE PHARMACY,239 Marine Dr SE,Vancouver,V5X 2S4,(604) 325-9265,(604) 325-9805
MARKS PHARMACY,#101 - 8035 - 120th Street,Delta,V4C 6P8,(604) 596-1774,(604) 596-8334
MARMAR PHARMACY,#212 - 1200 Burrard St,Vancouver,V6Z 2C7,(604) 605-0211,(604) 602-0210
MARY'S PHARMACY,#201B - 1194 Lansdowne Dr,Coquitlam,V3E 1J7,(604) 941-0454,(604) 941-0421
MCCALLUM PHARMACY,2481B McCallum Rd,Abbotsford,V2S 3P8,(604) 852-3603,(604) 852-3601
MCCUE PHARMACY,#100 - 8120 Cook Road,Richmond,V6Y 1T9,(604) 278-9601,(604) 273-5321
MCKESSON SPECIALTY PHARMACY (BC),102-3330 192 St,Surrey,V3Z 1A1,1-866-246-0095,1-866-246-7796
MCKIM CARE PHARMACY,1010 - 8766 McKim Way,Richmond,V6X 4G4,(604) 558-4315,(604) 558-4314
MEADOWCURE PHARMACY + COFFEE,215-1331 Westhills Dr,Langford,V9B 0S2,(778) 557-0103,(778) 557-0105
MEADOWS PHARMACY,12161 Harris Rd,Pitt Meadows,V3Y 2E9,(604) 460-0541,(604) 460-0542
MEDCARE PHARMACY,#107 - 12025 Nordel Way,Surrey,V3W 1W1,(604) 593-1415,(604) 593-1416
MEDICA PHARMACY LTD.,10030 King George Blvd,Surrey,V3T 2W4,(604) 496-1903,(604) 496-1909
MEDICAL CENTRE PHARMACY,1722 Davie St,Vancouver,V6G 1W2,(604) 682-4321,(604) 568-2023
MEDICAL CENTRE PRESCRIPTIONS,10225 King George Blvd,Surrey,V3T 2W6,(604) 581-2411,(604) 589-2020
