pharmacy_name,city,phone,fax
OCEAN PHARMACY,West Vancouver,(604) 922-1238,(604) 926-3908
OCEANSIDE PHARMACY,Sidney,778-351-2111,778-351-2110
OLIVER PHARMACY,Oliver,(250) 485-4007,(250) 485-4002
OMNICARE PHARMACY LTD.,Vancouver,(604) 633-1289,(604) 633-1298
ORCHARD PHARMACY,Kelowna,(236) 420-2882,(236) 420-2881
OTTER CO-OP AT PARALLEL PHARMACY,Abbotsford,(778) 771-0410,(604) 851-9665
OTTER CO-OP PHARMACY,Langley,(604) 607-6934,(604) 856-3101
OTTER CO-OP PHARMACY (MT. LEHMAN),Abbotsford,778-655-5170,778-655-5171
OUT REACH PHARMACY LTD.,Nanaimo,(250) 753-9606,(250) 753-9608
OWL DRUGS,Vancouver,(604) 681-3024,(604) 681-3048
P & A PHARMACY,Vancouver,(604) 876-4424,(604) 876-8845
P.D.C. PHARMACY,Coquitlam,(604) 927-2620,(604) 941-0532
PACIFIC CARE PHARMACY,Vancouver,(604) 438-6200,(604) 438-6201
PACIFIC HEIGHTS PRESCRIPTION X-PRESS PHARMACY,New Westminster,(604) 244-4580,(604) 676-2625
PARK PACIFIC PHARMACY,Richmond,(604) 273-9812,(604) 270-2228
PARKRIDGE PHARMACY & HEALTH CENTRE,Enderby,(250) 838-5866,(250) 838-5877
PARKSVILLE PHARMACY,Parksville,(250) 586-2625,(250) 586-2626
PEAK HEALTH PHARMACY,Langley,(604) 918-8779,(604) 918-8739
PENDER ISLAND PHARMACY,Pender Island,(250) 629-6555,(250) 629-6533
PEOPLES INWELL PHARMACY,Burnaby,(604) 568-8713,(604) 568-8723
PEOPLES PHARMACY,Victoria,(250) 474-9331,(250) 474-9336
PEOPLES PHARMACY #325,Surrey,(604) 585-6227,(604) 585-0105
PEOPLES PHARMACY #369,Surrey,(604) 593-1788,(604) 593-1769
PEOPLES PHARMACY #377,Surrey,(604) 576-6815,(604) 576-6857
PEOPLES PHARMACY #387,North Vancouver,(604) 984-0686,(604) 984-2766
PEOPLES PHARMACY ALDERGROVE,Aldergrove,(604) 624-0660,(604) 624-0662
PEOPLES SHIFA PHARMACY,Surrey,(604) 502-7030,(604) 502-7031
PG GATEWAY PHARMACY,Prince George,(250) 564-9993,(250) 564-9997
PHARMACITY DRUGSTORE,Surrey,(604) 595-2873,(604) 595-2840
PHARMACITY DRUGSTORE #2,Abbotsford,(604) 855-8882,(604) 855-8836
PHARMACITY DRUGSTORE #3,Surrey,(604) 574-3331,(604) 574-3342
PHARMACY 24,Abbotsford,(604) 853-8884,(604) 853-8808
PHARMACY 24 NO 5,Surrey,(778) 218-4102,(778) 218-4103
PHARMATRUST PHARMACY #2,Vancouver,(604) 694-0988,(604) 694-0933
PHARMAWISE PHARMACY,Surrey,778-565-0600,778-565-0700
PHOENIX PHARMACY,Prince George,(250) 562-3383,(250) 562-5113
PIER HEALTH RESOURCE CENTRE,Vancouver,(604) 891-1480,(604) 891-1490
PLAZA PHARMACY,Abbotsford,(604) 504-4460,(604) 504-4465
POINT GREY PHARMACY,Vancouver,(604) 224-1377,(604) 225-0019
PORT ALICE PHARMACY,Port Alice,(250) 284-0261,(250) 284-0264
POSTRX WEST,Richmond,(236) 312-7300,(236) 312-7270
POWELL RIVER PHARMACY,Powell River,(604) 489-9272,(604) 489-9273
PRICESMART FOODS PHARMACY #2274 - RICHMOND,Richmond,(604) 278-8408,(604) 278-7227
PRICESMART FOODS PHARMACY #2280,Burnaby,(604) 899-1357,(236) 455-5092
PRICESMART FOODS PHARMACY #2281 - STATION SQUARE,Burnaby,(604) 433-3760,(604) 433-7109
PRIME CURE PHARMACY,Surrey,778-761-3131,778-761-3132
PRIME CURE PHARMACY NO. 2,Surrey,(604) 242-0323,(604) 242-0324
PRIME WEST PHARMACY,Surrey,(778) 359-1313,(778) 368-0069
PRIME WEST PHARMACY #3,Surrey,(604) 515-4422,(604) 930-3501
PRIMECARE PHARMACY,Surrey,(778) 654-0013,(778) 654-0039
PRINCETON PHARMACY,Princeton,(250) 295-7670,(250) 295-7650
PROMONTORY PHARMACY,Chilliwack,(604) 705-3800,(604) 705-3801
PURE CURE PHARMACY,Surrey,236-598-8896,236-598-8895
PURPLE PHARMACY,Mission,(604) 287-2245,(604) 287-2255
RAGE'S PHARMACY,Penticton,(250) 493-7200,(250) 493-7201
RAINDROP PHARMACY,Vancouver,(604) 373-9099,(604) 373-9099
RAINFOREST WELLNESS PHARMACY,Kitimat,(250) 632-2914,(250) 632-2750
REGENCY MEDICINE CENTRE,Richmond,(604) 273-5544,(604) 273-5037
REID STREET PHARMACY LTD.,Quesnel,(250) 985-0557,(250) 985-0535
REMEDY'SRX #263,Langley,(604) 534-8686,(604) 534-8383
REMEDY'SRX #298,Langley,(604) 534-6600,(604) 534-6076
REMEDY'SRX #367,Kelowna,(778) 484-3836,(778) 484-3837
REVELSTOKE FAMILY PHARMACY,Revelstoke,(250) 837-5191,(250) 837-5658
RIDGE MEADOWS PHARMACY,Maple Ridge,(604) 463-4771,(604) 463-4770
RIDGEWAY PHARMACY,Coquitlam,(604) 931-5252,(604) 931-8300
RISE CHC PHARMACY,Vancouver,(604) 558-8090,(778) 653-3558
RITECARE PHARMACY,Surrey,(778) 565-5925,(778) 565-5926
RITECARE PHARMACY #2,Surrey,(604) 372-3388,(604) 372-3387
ROSE PHARMACY,West Vancouver,(604) 281-4199,(604) 281-4198
ROSE VALLEY PHARMACY,West Kelowna,(778) 755-6715,(778) 755-6153
ROYAL DRUGS PHARMACY,Burnaby,(604) 294-1500,(604) 299-3940
ROYAL JUBILEE PRESCRIPTIONS,Victoria,(250) 370-8153,(250) 519-1823
RX COUNTER,Richmond,(604) 275-3279,(604) 275-2976
RX DRUG MART #1000,Burns Lake,(250) 692-7531,(250) 692-7398
RX DRUG MART #1001,Vanderhoof,(250) 567-2281,(250) 567-3934
RX DRUG MART #1002,Sechelt,(604) 885-9833,(604) 885-1071
RX PEOPLES PHARMACY,Maple Ridge,(604) 479-1661,(604) 479-1494
RX RAM PHARMACY SPECIALISTS (MILLSTONE),Nanaimo,(250) 591-0144,(250) 591-0145
RXCARE PHARMACY & COMPOUNDING,Burnaby,(604) 428-7911,(604) 428-7912
SAFEMED PHARMACY MARINE DRIVE,North Vancouver,(604) 770-4414,(604) 770-4415
SAFEMED PHARMACY MOUNTAIN HIGHWAY,North Vancouver,(604) 980-4446,(604) 980-4448
SAIGON PHARMACY,Vancouver,(604) 872-6708,(604) 874-6708
SALMO VALLEY PHARMACY,Salmo,(250) 357-9444,(888) 715-1813
SALMON ARM PRESCRIPTION CENTRE,Salmon Arm,(250) 804-0700,(250) 804-0790
SAM'S PHARMACY LTD.,Vancouver,(604) 688-6323,(604) 688-6323
SARDIS PHARMACY,Chilliwack,(604) 705-1030,(604) 705-1031
SATNAM PHARMACY,Surrey,(604) 597-5947,(604) 597-5945
SCOTT 75 PHARMACY,Surrey,(604) 503-8355,(604) 503-8356
SCOTT ROAD PHARMACY,Delta,(604) 591-5080,(604) 394-2115
SCOTTCARE PHARMACY,Surrey,(604) 498-0856,(604) 498-0857
SCRIPT CARE PHARMACY,Burnaby,(604) 415-9607,(604) 415-9608
SEABIRD PHARMACY,Agassiz,(604) 491-4477,(604) 491-4478
SENTREX PHARMACY,Vancouver,1-888-891-7539,(778) 309-6230
SERVICE PLUS #3,Richmond,(604) 278-8830,(604) 279-8961
SHAYONA PHARMACY,Surrey,(778) 738-1119,(778) 738-1109
SHUSWAP VALLEY PHARMACY,Salmon Arm,(250) 835-1095,(250) 835-1108
SILVERMERE PHARMACY,Mission,(604) 820-8002,(604) 820-8040
SINA PHARMACY,Vancouver,(604) 336-7462,(604) 336-7461
SMART SAVE PHARMACY,Surrey,(778) 565-5760,(778) 565-5761
SOLACE PHARMACY,North Vancouver,(604) 971-4444,(604) 971-0099
SOMERSET PHARMACY SERVICES,Surrey,(604) 590-5509,(604) 590-5523
SOUL RX,Maple Ridge,(604) 479-9791,(604) 479-9792
SOUTH SLOPE PHARMACY,Burnaby,(604) 245-5299,(604) 245-5299
SOUTHLAND PHARMACY,Vancouver,(604) 266-2882,(604) 263-9850
SPARWOOD REMEDY'S RX,Sparwood,(250) 425-6604,(250) 425-6614
SPRUCE SPECIALTY PHARMACY,Surrey,(604) 359-5003,(604) 398-8515
ST. ANTHONY'S CLINIC PHARMACY #2,Victoria,(250) 478-8338,(250) 478-7866
ST. RAPHAEL PHARMACY,Abbotsford,(604) 744-2038,(604) 744-2064
STEPPING STONE PHARMACY,Vancouver,(604) 282-3973,(604) 282-3974
STEVESTON PHARMACY,Richmond,(604) 271-2820,(604) 272-2863
STUART LAKE PHARMACY,Fort St. James,(250) 996-7815,(250) 996-7659
SUKH'S PHARMACY,Surrey,(604) 594-0069,(604) 594-0804
SULLIVAN HEIGHTS PHARMACY,Surrey,(778) 564-0018,(778) 564-0012
SUMMERLAND PHARMACY,Summerland,(250) 494-0531,(250) 494-0778
SUN VALLEY PHARMACY,Osoyoos,(778) 738-1115,(236) 577-2982
SUNCOAST PHARMACY,Sechelt,(604) 885-2899,(604) 885-2820
SUNCOAST PHARMACY #15,Madeira Park,(604) 883-2888,(604) 883-2804
SUNNYSIDE EVERGREEN PHARMACY,Surrey,(604) 536-4404,(604) 536-4572
SUNSET PHARMACY LTD.,Burnaby,(604) 435-3830,(604) 435-3834
SUNWEST PHARMACY,Surrey,(778) 293-2273,(778) 293-2274
SUPER-CARE PHARMACY,Chilliwack,(604) 792-6260,(604) 792-6217
SUPERSAVE PHARMACY,Vancouver,(604) 438-5773,(604) 438-5767
SUPRA NORTHSHORE PHARMACY,Kamloops,(250) 434-4441,(250) 434-4449
SURREY PHARMACY,Surrey,(604) 572-3060,(604) 572-3065
SURREY TRUE HEALTH PHARMACY INC.,Surrey,(604) 954-1581,1(833) 444-0309
TANG'S PRESCRIPTIONS,Prince George,(250) 596-6888,(250) 596-6889
TELUS HEALTH VIRTUAL PHARMACY,Richmond,(604) 370-1999,(604) 370-2030
THE DRIVE PHARMACY,Vancouver,(604) 254-0133,(604) 254-0134
THE PHARMACY LANGLEY,Langley,(778) 277-0024,(778) 277-0025
THIRD AVENUE PHARMACY,Prince George,(250) 564-7147,(250) 564-2517
THREE RIVERS PHARMACY,Hazelton,(250) 842-6040,(250) 842-0154
THRIFTY FOODS AND PHARMACY #9454,Victoria,(250) 386-8337,(250) 386-8334
THRIFTY FOODS AND PHARMACY #9458,Parksville,(250) 947-2535,(250) 947-2536
THRIFTY FOODS AND PHARMACY #9461,Victoria,(250) 382-2881,(250) 382-2801
THRIFTY FOODS AND PHARMACY #9464,Nanaimo,(250) 729-7240,(250) 729-9802
THRIFTY FOODS AND PHARMACY #9467,Campbell River,(250) 850-3585,(250) 850-3586
THRIFTY FOODS AND PHARMACY #9470,Port Moody,(604) 949-4253,(604) 949-4254
THRIFTY FOODS AND PHARMACY #9471,Duncan,(250) 715-2654,(250) 715-2655
THRIFTY FOODS AND PHARMACY #9472,Surrey,(604) 542-7853,(604) 542-7854
THRIFTY FOODS AND PHARMACY #9478,Courtenay,(250) 331-5103,(250) 331-5104
THRIFTY FOODS AND PHARMACY #9480,Langford,250-391-4048,250-391-4073
THRIFTY FOODS AND PHARMACY #9481,Courtenay,(250) 331-4999,(250) 331-4991
THRIVE PHARMACY,Surrey,(604) 498-4444,(604) 498-8266
TOFINO PHARMACY,Tofino,(250) 725-3101,(250) 725-4491
TOTALCARE RX,Burnaby,(604) 451-0005,(604) 451-0007
TSAWWASSEN PHARMACY,Delta,(604) 943-9341,(604) 943-2935
TURTLE BAY PHARMACY,Lake Country,(778) 480-6644,(778) 480-8100
UCLUELET CO-OP PHARMACY,Ucluelet,(250) 726-4342,(250) 726-2760
UNICARE PHARMACY,Vancouver,(604) 438-5155,(604) 438-5155
UNIONBAY PHARMACY,Union Bay,(250) 335-4590,(250) 335-4592
UNIVERSAL PHARMACY,Surrey,(604) 594-9535,(604) 594-9540
UNIVERSITY HEIGHTS PHARMACY,Victoria,(250) 590-8886,(250) 590-8377
UPRX,Burnaby,604-291-1094,604-291-0827
UPTOWN DRUGS PEOPLES PHARMACY,New Westminster,(604) 520-3009,(833) 694-1527
URBAN FARE PHARMACY #7614 - YALETOWN,Vancouver,(604) 975-7544,(604) 975-7551
UVIC CAMPUS PHARMACY,Victoria,(250) 721-3400,(250) 472-5183
VALLEY OUTREACH PHARMACY,Aldergrove,(604) 381-5977,(604) 381-5978
VALUE DRUG MART WILLOUGHBY,Langley,(236) 471-6978,(236) 471-6977
VANCOUVER PHARMACY,Vancouver,(604) 669-5990,(604) 669-5981
VANDERHOOF MEDICINE CENTRE,Vanderhoof,(250) 567-5568,(250) 567-5561
VEDDER PHARMACY,Chilliwack,(604) 647-3571,(604) 800-0628
VIEW ST. PHARMACY,Victoria,(250) 361-3773,(250) 361-3730
VILLAGE PHARMACY,Burnaby,(604) 421-4388,(604) 421-4589
VINA PHARMACY,Vancouver,(604) 669-1623,(604) 669-1623
VIVA MED PHARMACY,Delta,(604) 599-9442,(604) 599-9380
WALLACE PHARMACY,Nanaimo,(250) 753-8686,(250) 753-8871
WAL-MART PHARMACY #1011,Trail,(250) 364-2707,1-(855)-983-1231
WAL-MART PHARMACY #1015,Squamish,(604) 815-4630,(604) 815-4657
WAL-MART PHARMACY #1018,Port Alberni,(250) 720-0916,1-855-983-0996
WAL-MART PHARMACY #1036,Merritt,(250) 315-1371,(250) 315-1356
WAL-MART PHARMACY #1077,Campbell River,(250) 287-2372,(250) 287-7335
WAL-MART PHARMACY #1093,Westbank,(250) 768-1759,(250) 768-3204
WAL-MART PHARMACY #1100,Salmon Arm,(250) 803-4403,1 (855) 983-1015
WAL-MART PHARMACY #1104,Vancouver,(604) 435-6150,(604) 435-6437
WAL-MART PHARMACY #1106,Williams Lake,(250) 305-6899,(250) 305-1145
WAL-MART PHARMACY #1112,Port Coquitlam,(604) 472-1260,(604) 472-1216
WAL-MART PHARMACY #1113,Abbotsford,(604) 504-2070,(604) 504-2093
WAL-MART PHARMACY #1119,Mission,(604) 820-4248,(604) 820-8046
WAL-MART PHARMACY #1181,Tsawwassen,(778) 783-5381,(604) 948-0642
WAL-MART PHARMACY #1192,New Westminster,(604) 395-8482,(604) 395-8304
WAL-MART PHARMACY #1205,Surrey,(604) 495-8698,(604) 495-8682
WAL-MART PHARMACY #1206,Maple Ridge,(778) 306-9937,(604) 467-0916
WAL-MART PHARMACY #1207,Delta,(604) 595-3618,(604) 595-5553
WAL-MART PHARMACY #1208,Coquitlam,(778) 284-3311,(778) 284-2542
WAL-MART PHARMACY #1213,Burnaby,(778) 328-1121,(778) 783-4275
WAL-MART PHARMACY #1214,Victoria,(250) 220-2573,(250) 410-1251
WAL-MART PHARMACY #3008,Burnaby,(604) 421-0353,(604) 421-5941
WAL-MART PHARMACY #3019,Abbotsford,(604) 854-1375,(604) 854-1477
WAL-MART PHARMACY #3025,Duncan,(250) 748-1226,1-855-983-1031
WAL-MART PHARMACY #3040,Kamloops,(250) 374-8874,(250) 377-0125
WAL-MART PHARMACY #3042,Kelowna,(250) 860-9145,(250) 860-8172
WAL-MART PHARMACY #3057,North Vancouver,(604) 984-3441,(604) 984-3345
WAL-MART PHARMACY #3059,Nanaimo,(250) 390-2334,(250) 390-2611
WAL-MART PHARMACY #3060,Nelson,(250) 352-7842,(250) 352-3090
WAL-MART PHARMACY #3070,Penticton,(250) 493-6677,(250) 493-7318
WAL-MART PHARMACY #3072,Powell River,(604) 485-0141,1-855-983-1054
WAL-MART PHARMACY #3098,Surrey,(604) 585-7440,(604) 588-3759
WAL-MART PHARMACY #3109,Victoria,(250) 475-7512,(250) 475-7506
WAL-MART PHARMACY #3158,Langley,(604) 539-5230,(604) 539-5290
WAL-MART PHARMACY #3163,Courtenay,(250) 898-8955,(250) 898-8954
WAL-MART PHARMACY #3167,Chilliwack,(604) 792-7638,(604) 792-7643
WAL-MART PHARMACY #3169,Vernon,(250) 558-0562,(250) 558-0591
WAL-MART PHARMACY #3183,Cranbrook,(250) 489-5338,(250) 489-5008
WAL-MART PHARMACY #3188,Victoria,(250) 391-0244,(250) 391-0813
WAL-MART PHARMACY #3199,Quesnel,(833) 768-1326,(250) 747-2368
WAL-MART PHARMACY #3651,Prince George,(250) 906-3206,(250) 906-3263
WAL-MART PHARMACY #3652,Richmond,(604) 288-4396,(778) 783-5389
WAL-MART PHARMACY #3661,Fort St. John,(250) 261-5585,(250) 261-5556
WAL-MART PHARMACY #5776,Dawson Creek,(250) 719-0241,(250) 719-0238
WAL-MART PHARMACY #5777,New Westminster,(604) 524-1264,(604) 524-1329
WAL-MART PHARMACY #5834,Terrace,(250) 615-2047,(250) 615-3247
WAL-MART PHARMACY #5838,Surrey,(604) 597-9169,(604) 597-6178
WAL-MART PHARMACY #5853,Surrey,(604) 541-8567,(604) 541-6074
WE CARE PHARMACY #2,Surrey,(778) 565-7988,(778) 565-7989
WE CARE PHARMACY #3,Surrey,(778) 564-1898,(778) 564-1897
WE PHARMACY,Langley,(778) 366-5400,(778) 366-5401
WELL PHARMACY,Penticton,(778) 476-1492,(778) 476-1711
WELLCARE RX,Delta,(604) 572-7755,(604) 572-7752
WESCANA PHARMACY DELTA,Delta,(604) 591-7453,(604) 591-7463
WEST 10TH MEDICAL PHARMACY LTD.,Vancouver,(604) 222-2028,(604) 222-2086
WEST END MEDICINE CENTRE,New Westminster,(604) 522-5636,(604) 524-6488
WHATCOM PHARMACY AND COMPOUNDING,Abbotsford,(604) 744-1266,(604) 744-1267
WILSON PHARMACY,Port Coquitlam,(604) 942-4611,(604) 942-1554
WILSON PHARMACY NO. 2,Port Coquitlam,(778) 285-2800,(604) 554-0201
WINMED PHARMACY,Abbotsford,(604) 746-0201,(604) 746-0203
YALE PHARMACY,Vancouver,(604) 692-0211,(604) 683-0211
YALE ROAD PHARMACY,Chilliwack,(604) 795-1157,(604) 702-0656
YNP FRASER PHARMACY,Vancouver,(604) 669-4364,(604) 669-4308
YORK PHARMACY,Surrey,(604) 598-4679,(604) 598-4684
YORKSON PHARMACY,Langley,(778) 366-3552,(778) 366-3559
