Section,Provenance,Statement,Detail,Source
By market,RECORD,Unassigned | Technical Assistance for Support for Community Mobilization and School: Technical Assistance for Support for Community Mobilization and School Management,2026-01-01,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00455471
By market,RECORD,Unassigned | Savusavu Participatory Sanitation Master Plan: Savusavu Participatory Sanitation Master Plan,2026-01-01,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00445423
By market,RECORD,Phoenix | Children's Museum of Phoenix: Children's Museum of Phoenix,2026-06-30 | Phoenix,https://phoenix.legistar.com/Legislation.aspx#matter-35482
By market,RECORD,Phoenix | Liquor License - AC Hotel By Marriott City North and Element Hotel City North: Liquor License - AC Hotel By Marriott City North and Element Hotel City North - District 2,2026-06-30 | Phoenix,https://phoenix.legistar.com/Legislation.aspx#matter-35452
By market,RECORD,"Phoenix | Woodland Plaza, LLC, et.al: Amend City Code - Ordinance Adoption - Rezoning Application Z-145-24-1 - Approximately 200 Feet North of the Northwest Corner of 35th Avenue and Bell Road (Ordinance G-7528) - District 1",2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35398
By market,RECORD,"Phoenix | North Phoenix Growers, LLC et. al: Amend City Code - Ordinance Adoption - Rezoning Application Z-25-26-1-2 - Approximately 430 Feet South of the Southeast Corner of 19th Avenue and Jomax Road (Ordinance G-7529) - Districts 1 & 2",2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35400
By market,RECORD,Phoenix | Rezoning Application Z-15-26-2 - Southwest Corner of 56th Street and Ranger: Public Hearing and Ordinance Adoption - Rezoning Application Z-15-26-2 - Southwest Corner of 56th Street and Ranger Drive (Ordinance G-7525) - District 2,2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35401
By market,RECORD,Phoenix | 17 And Grandview Road: ***REQUEST TO WITHDRAW (SEE ATTACHED MEMO)*** Formal Action - PCD Major Amendment - Rezoning Application Z-104-L-75-3 - Southeast Corner of Interstate 17 and Grandview Road - District 3,2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35399
By market,RECORD,Phoenix | VTHQ: Amend City Code - Ordinance Adoption - Rezoning Application Z-27-26-8 - Southwest Corner of 14th Street and Hess Avenue (Ordinance G-7530) - District 8,2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35403
By market,RECORD,Phoenix | Denu Hotel & Spa resort: Liquor License - Denu Hotel & Spa - District 7,2026-06-30 | Phoenix,https://phoenix.legistar.com/Legislation.aspx#matter-35346
By market,RECORD,"Phoenix | Randy Raskin, 43rd Ave: Amend City Code - Ordinance Adoption - Rezoning Application PHO-1-26--Z-29-23-7(8) - Approximately 300 Feet East of the Northeast Corner of 43rd Avenue and Baseline Road (Ordinance G-7531) - District 8",2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35415
By market,RECORD,"Phoenix | Larry Miller, Matrix at Dobbins: Amend City Code - Ordinance Adoption - Rezoning Application PHO-1-26--Z-45-22-8 - Southeast Corner of 59th Avenue and Dobbins Road (Ordinance G-7532) - District 8",2026-06-30 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35416
By market,RECORD,Phoenix | Liquor License - Fire N Ice Arena - District 2: Liquor License - Fire N Ice Arena - District 2,2026-06-16 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35274
By market,RECORD,Phoenix | Fire N Ice Hotel resort: Liquor License - Fire N Ice Hotel - District 2,2026-06-16 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35273
By market,RECORD,Phoenix | Aloft Hotel Phoenix Airport resort: Liquor License - Aloft Hotel Phoenix Airport - District 8,2026-06-16 | Phoenix,https://phoenix.legistar.com/Legislation.aspx#matter-35272
By market,RECORD,Phoenix | Laveen Baseline: Amend Ordinance S-47581 and Development Agreement (City Contract 157059) with Laveen Baseline LLC (Ordinance S-53031) - Districts 7 & 8,2026-06-16 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35236
By market,RECORD,Phoenix | ADD-ON - Tohono O'odham Nation Tribal 2025 Gaming Grants (Ordinance S-52900): ADD-ON - Tohono O'odham Nation Tribal 2025 Gaming Grants (Ordinance S-52900) - Citywide,2026-05-19 | Phoenix,https://phoenix.legistar.com/gateway.aspx?M=l&ID=35247
By market,RECORD,Nashville | approving the activities and improvements eligible for tax (RS2026-2082): A Resolution approving the activities and improvements eligible for tax increment financing in the Rutledge Hill Redevelopment Plan.,2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20855
By market,RECORD,Nashville | amending Chapter 17.08 of the Metropolitan Code of Laws to modify the Zoning: An ordinance amending Chapter 17.08 of the Metropolitan Code of Laws to modify the Zoning District Land Use Table to reflect recent amendments to the Zoning Code (Proposal No. 2026Z-014-TX-001).,2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20861
By market,RECORD,"Nashville | 12802 Old Hickory Boulevard mixed-use development: An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from AR2a to SP zoning for property located at 12802 Old Hickory Boulevard, approximately 148 feet southwest of Logistics Way (3.6 acres), to permit a mixed use development, all of which is described herein (Proposal No. 2026SP-025-001).",2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20788
By market,RECORD,"Nashville | approving Amendment No. 6 to the Arts Center Redevelopment Plan, Amendment No. 1: An ordinance approving Amendment No. 6 to the Arts Center Redevelopment Plan, Amendment No. 1 to the Bordeaux Redevelopment Plan, Amendment No. 1 to the Central State Redevelopment Plan, Amendment No. 6 to the Phillips-Jackson Redevelopment Plan, Amendment No. 9 to the Rutledge Hill Redevelopment Plan, and Amendment No. 1 to the Skyline Redevelopment Plan. (Proposal No. 2026M-002OT-001)",2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20850
By market,RECORD,Nashville | approving the activities and improvements eligible for tax (RS2026-2081): A Resolution approving the activities and improvements eligible for tax increment financing in the Phillips Jackson Redevelopment Plan.,2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20854
By market,RECORD,Nashville | approving an intergovernmental project agreement between the Metropolitan: A resolution approving an intergovernmental project agreement between the Metropolitan Government of Nashville and Davidson County and the Convention Center Authority of the Metropolitan Government of Nashville and Davidson County relating to the financing and refinancing of the Music City Center.,2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20919
By market,RECORD,"Nashville | to authorize building material restrictions and requirements for BL2026-1474: An ordinance to authorize building material restrictions and requirements for BL2026-1474, a proposed Specific Plan Zoning District for property located at 1205 2nd Avenue North, approximately 129 feet north of Madison Street (0.46 acres), to permit a mixed use development, all of which is described herein (Proposal No. 2026SP-024-001). THE PROPOSED ORDINANCE REQUIRES CERTAIN MATERIALS TO BE RESTRICTED IN THE CONSTRUCTION OF BUILDINGS.",2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20783
By market,RECORD,Nashville | approving the activities and improvements eligible for tax (RS2026-2079): A Resolution approving the activities and improvements eligible for tax increment financing in the Bordeaux Redevelopment Plan.,2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20852
By market,RECORD,Nashville | approving the activities and improvements eligible for tax (RS2026-2080): A Resolution approving the activities and improvements eligible for tax increment financing in the Central State Redevelopment Plan.,2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20853
By market,RECORD,Nashville | approving the activities and improvements eligible for tax (RS2026-2083): A Resolution approving the activities and improvements eligible for tax increment financing in the Skyline Redevelopment Plan.,2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20856
By market,RECORD,Nashville | approving the activities and improvements eligible for tax (RS2026-2078): A Resolution approving the activities and improvements eligible for tax increment financing in the Arts Center Redevelopment Plan.,2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20851
By market,RECORD,"Nashville | accepting a grant from the Centennial Park Conservancy to the Metropolitan: A resolution accepting an in-kind grant from the Centennial Park Conservancy to the Metropolitan Government, acting by and through the Metropolitan Board of Parks and Recreation, to fund updating the current Concept Plan depicting improvements made to date and the current vision for future revitalization phases for Centennial Park.",2026-07-06 | Nashville,https://nashville.legistar.com/Legislation.aspx#matter-20825
By market,RECORD,Anaheim | Platinum Triangle / PT Metro: 16. DEVELOPMENT APPLICATION NO. 2026-00022 (DEV2026-00022) GENERAL PLAN AMENDMENT TO THE LAND USE ELEMENT ADJUSTMENT NO. 17 TO THE FESTIVAL SPECIFIC PLAN NO. 90-1 ADJUSTMENT NO. 5 TO THE MOUNTAIN PARK,2026-07-27 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&event_id=1858#item-h8c9905963a9f
By market,RECORD,"Anaheim | OCVibe: 4. Determinar sobre la base de la evidencia presentada por Anaheim Real Estate Partners, LLC, TS Anaheim, LLC y FCD, LLC (OCVIBE), que el propietario de la propiedad ha cumplido de buena fe con los té",2026-07-13 | Anaheim,https://anaheim.granicus.com/DocumentViewer.php?file=anaheim_7f2f654f7555addc70231de198fa22d9.pdf&view=1#item-h9f002fc7dbca
By market,RECORD,Anaheim | Contemporary Services resort: 14. Approve the Service Agreement with Contemporary Services Corporation to provide contract Event Crowd Control services at the Anaheim Convention Center (ACC) to supplement the Convention Center s e,2026-06-22 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3636#item-ha737272a388d
By market,RECORD,Anaheim | 200 S. Anaheim Blvd resort: 25. Public Hearing to consider a resolution confirming the diagram and assessment and providing for the levy of the annual assessment in and for The Anaheim Resort Maintenance District for Fiscal Year,2026-06-22 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3636#item-hb832aecc26d1
By market,RECORD,"Anaheim | Disneyland Resort: 8. Determinar que, sobre la base de la evidencia presentada por Walt Disney Parks and Resorts US, Inc., el propietario de la propiedad ha cumplido de buena fe con los términos y condiciones del Primer",2026-06-22 | Anaheim,https://anaheim.granicus.com/DocumentViewer.php?file=anaheim_5713ee926e19136cdccede9cc8a3ce47.pdf&view=1#item-h72954c9ae56e
By market,RECORD,"Anaheim | Johnson Controls Fire Protection resort: 8. Approve Contract Number No. MA 106-498975 with Johnson Controls Fire Protection LP, in an amount not to exceed $543,631.15 inclusive of all applicable taxes and a 20% contingency, for testing, insp",2026-04-20 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3606#item-hd3c83a92a742
By market,RECORD,"Anaheim | GardenWalk Hotel II resort: 20. DEVELOPMENT AGREEMENT NO. 99-01 PREVIOUSLY APPROVED POINTE ANAHEIM INITIAL STUDY, MITIGATED DECLARATION, AND ADDENDA APPLICANT : GardenWalk Hotel II, LLC (assigned from GardenWalk Hotel I, LLC); 3",2026-02-23 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3570#item-hfd01862751c7
By market,RECORD,"Anaheim | OTR, an Ohio Partnership resort: 5. The General Plan Amendment would change the land use designation within DA 5 from Regional Commercial to Mixed-Use Medium. The Mixed-Use Medium land use designation allows for residential developme",2026-01-12 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3552#item-hcbfb4c6155ca
By market,RECORD,"Anaheim | Good Hope International resort: 8. Determine, on the basis of the evidence submitted by Good Hope International, that the property owner has complied in good faith with the terms and conditions of Development Agreement No. 2016-0000",2025-12-15 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3542#item-hfb4b64820e62
By market,RECORD,"Anaheim | 10 To The Beach Boulevard resort: ITEM NO. 3 DEVELOPMENT APPLICATION NO. 2025-00041, ADJUSTMENT NO. 17 TO THE DISNEYLAND RESORT SPECIFIC PLAN NO. 92-1, ADJUSTMENT NO. 15 TO THE ANAHEIM RESORT SPECIFIC PLAN NO. 92-2, ADJUSTMENT NO. 16 ",2025-11-16 | Anaheim,https://anaheim.granicus.com/DocumentViewer.php?file=anaheim_fe1740c90f9138140c46f84136727989.pdf&view=1#item-h4787d3edccd4
By market,RECORD,"Anaheim | Aramark Sports resort: 14. Approve the Services Agreement with Aramark Sports and Entertainment Services, LLC (Aramark) granting Aramark the exclusive right to provide food and beverage services at the Anaheim Convention Ce",2025-10-27 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3511#item-hc8e3dc19c57c
By market,RECORD,"Anaheim | Amended and Restated Agreement, in substantial form, with the Anaheim/Orange: 17. Approve the Amended and Restated Agreement, in substantial form, with the Anaheim/Orange County Visitor & Convention Bureau dba Visit Anaheim authorizing Visit Anaheim to provide the services nece",2025-05-12 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3398#item-hc21af60185fc
By market,RECORD,"Oakland | Alliance For West Oakland Development: Subject: 	Sale Of 319 Chester Street
From: 		Housing And Community Development Department
Recommendation: Adopt An Ordinance Amending Ordinance No. 13104 C.M.S., Which Authorized The Sale Of A City-Owned Parcel At 319 Chester Street To The Alliance For West Oakland Development, Authorized Seller Financing For The Purchase Price, Authorized A Construction Loan, And Authorized A Disposition And Development Agreement With The Developer To Develop The Parcel With A Two Family Home For-Sale, To (1) Convert The Project Into An Affordable Rental Project, And (2) Consolidate The City Purchase And Construction Loans Into A Long Term Affordable Rental Loan",2026-07-20 | Oakland,https://oakland.legistar.com/Legislation.aspx#matter-37318
By market,RECORD,"Oakland | 7000 Coliseum Way integrated resort: Subject: 	Second Amendment To Coliseum Complex Sale Agreement
From: 		Economic And Workforce Development Department And Finance Department
Recommendation: Adopt An Ordinance (1) Authorizing The City Administrator To Amend The Purchase And Sale Agreement Of The City Of Oakland’s Undivided 50% Interest In The Coliseum Complex Located At 7000 Coliseum Way, Oakland, California, To Allow The Simultaneous Sale Of The Arena Parcel For The Lump Sum Payment Of $50 Million And The Stadium Parcel For $60 Million With Seller Financing From The City, Crediting The $5 Million Deposit Held By The City Prior To The Sale;

(2) Authorizing The City Administrator To Negotiate And Execute An Agreement Pursuant Which The Buyers Agree To Pay To The City 6% Of The Annual Gross Ticket Sales For Any Event At The Arena Parcel And The Stadium Parcel Less Applicable Taxes;

(3) Amending Ordinance No. 13801 C.M.S. Conditioning The Sale To Require Development Of On-Site, Affordable Housing And Other Benefits To Solely The Sale Of The City’s Interest In The Stadium Parcel;

(4) Authorizing The City Administrator To Facilitate Closing Prior To December 31, 2026 By Redirecting To The Buyer Of The Stadium Parcel A Portion Of The Pro Rata Share Of The City’s Annual Subsidy Of The Stadium Parcel Based On A Per Day Amount Of $16,438.36 Limited To The Period Between The Stadium Parcel Closing And December 31, 2026; And

(5) Adopting California Environmental Quality Act Findings",2026-07-20 | Oakland,https://oakland.legistar.com/Legislation.aspx#matter-37487
By market,RECORD,"Oakland | Costco Wholesale: Subject: 	Costco Exclusive Negotiation Agreement
From: 		Economic And Workforce Development Department
Recommendation: Adopt A Resolution (1) Authorizing The City Administrator To Negotiate And Execute An Exclusive Negotiation Agreement With Costco Wholesale Corporation For Development Of A Costco Store On City Property Located At 101 Admiral Robert Toney Way And 2308 Wake Avenue, For A 24 Month Term, Conditioned On A $300,000 Exclusive Negotiation Payment, With Two Additional Six-Month Administrative Extensions, Each Conditioned On Payment Of An Additional $25,000; (2) Waiving Competitive Bidding Under Oakland Municipal Code Chapter 2.42; And (3) Adopting California Environmental Quality Act Findings",2026-07-06 | Oakland,https://oakland.legistar.com/Legislation.aspx#matter-37344
By market,RECORD,"Central Florida Tourism Oversight District | 10450 Turkey Lake Road: Contract between CFTOD and Tower Engineering Inc. approved by the Board at the November 21, 2025, meeting",2026-01-23 | Central Florida Tourism Oversight District,https://www.oversightdistrict.org/wp-content/uploads/2026/01/1-23-2026-BOS-Agenda-Packet-FINALcs.pdf#item-9.1-p276
By market,RECORD,Central Florida Tourism Oversight District | CFTOD / Walt Disney World: Approve the First Amendment to Roadway Expansion Land Dedication and Reimbursement Agreement and authorize the District Administrator or her designee to execute same,2026-01-23 | Central Florida Tourism Oversight District,https://www.oversightdistrict.org/wp-content/uploads/2026/01/1-23-2026-BOS-Agenda-Packet-FINALcs.pdf#item-6.2-p12
By market,RECORD,Central Florida Tourism Oversight District | authorizing the District Administrator to execute subordination of drainage: Approve authorizing the District Administrator to execute subordination of drainage agreement interests to FDOT for Interstate 4 and SR 538 right-of-way acquisition,2026-01-23 | Central Florida Tourism Oversight District,https://www.oversightdistrict.org/wp-content/uploads/2026/01/1-23-2026-BOS-Agenda-Packet-FINALcs.pdf#item-6.5-p175
By market,RECORD,Bonita Springs | 3451 Bonita Bay Boulevard: Bonita Bay Lake (260611-65012_36-117149-P),2026-06-11 | Bonita Springs,https://www.sfwmd.gov/regpermitting#erp-260611-65012_36-117149-P
By market,RECORD,Bonita Springs | 8910 Terrene Ct: Bonita Bay Lake 21 Restoration (250609-53694_36-114553-P),2025-10-14 | Bonita Springs,https://www.sfwmd.gov/regpermitting#erp-250609-53694_36-114553-P
By market,PRESS,Walt Disney World | Disney / CFTOD (Walt Disney World): Letters from Lakeshore: Updates on Disney World's ...,2026-06-16 | Walt Disney World,https://disneyparksblog.com/wdw/lakeshore-lodge-disney-world-updates/
By market,PRESS,Abu Dhabi | Sphere Abu Dhabi set to launch on Yas Island by 2029: AtkinsRéalis and ALEC to deliver the Sphere Abu Dhabi,2026-07-21 | Abu Dhabi,https://meconstructionnews.com/68491/atkinsrealis-and-alec-to-deliver-the-sphere-abu-dhabi
By market,PRESS,Sharm El-Sheikh | Gulf Egypt plans $401mln mixed-use tourism project: Gulf Egypt unveils an integrated lifestyle hospitality ...,2026-07-11 | Sharm El-Sheikh,https://www.zawya.com/en/press-release/companies-news/gulf-egypt-unveils-an-integrated-lifestyle-hospitality-destination-in-sharm-el-sheikh-lhh08299
By market,PRESS,Queensland | 30 Albert Street hotel: DOMA Group Takes Covers Off Debut Projects for Brisbane ...,2026-06-30 | Queensland,https://www.theurbandeveloper.com/articles/canberra-developer-doma-brisbane-adelaide-debut-towers-qld-sa
By market,PRESS,North Carolina | Carida Capital Group announces Mattel Wonder Indoor: Carida Capital Group announces Mattel Wonder Indoor ...,2026-05-26,https://amusementtoday.com/2026/05/carida-capital-group-announces-mattel-wonder-indoor-waterpark-coming-to-north-carolina-as-part-of-new-entertainment-district-2/
By market,PRESS,Jeddah | Al Akaria awards $123mln contract for Porta Jeddah mixed: Al Akaria awards major $123mn contract for hotel and retail ...,2026-05-12 | Jeddah,https://www.constructionweekonline.com/news/saudi-al-akaria-awards-major-123mn-contract
By market,RECORD,"San Antonio | Weston Urban: Discussion and possible action to authorize execution of a Master Economic Incentive Agreement between Weston Urban, LLC and the City of San Antonio as a source of funding for public improvements related to the redevelopment of the property located at 322 W. Commerce, for an amount up to $250,000.

",2021-09-20 | San Antonio,https://sanantonio.legistar.com/Legislation.aspx#matter-43966
Coverage note,ASSESSMENT,Coverage is limited to all covered markets. Projects outside it exist in our register and are not reported here.,,
Coverage note,ASSESSMENT,The period is July 2026. Activity outside it is not included even where it concerns the same project.,,
Coverage note,ASSESSMENT,Dormant projects are excluded from this report.,,
Coverage note,ASSESSMENT,"Records are captured from published sources. A matter that has not been published, or that is published somewhere we do not yet capture, will not appear.",,
